gvkey,conm,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001073,AW COMPUTER SYSTEMS  -CL A,C,01,LU,10496,422,19810309,19960828
001074,AZL RESOURCES INC,P,01,LU,49648,25078,19691204,19821231
001075,PINNACLE WEST CAPITAL CORP,P,01,LU,27991,21409,19620131,E
001076,AARON'S INC,J,02,LC,78049,5674,20101201,20101210
001076,AARON'S INC,N,02,LC,78049,5674,19921103,19921231
001076,AARON'S INC,P,01,LC,10517,5674,20101201,E
001076,AARON'S INC,P,02,LC,78049,5674,19930101,20101130
001076,AARON'S INC,P,01,LC,10517,5674,19821104,19921231
001076,AARON'S INC,J,01,LC,10517,5674,19930101,20101130
001077,AARONSON BROTHERS STORES CP,P,01,LU,10525,346,19790131,19800930
001077,AARONSON BROTHERS STORES CP,C,00X,LU,10525,346,19730701,19790130
001078,ABBOTT LABORATORIES,C,00X,LC,20482,20017,19500101,19620130
001078,ABBOTT LABORATORIES,P,01,LC,20482,20017,19620131,E
001079,ARP CORP,P,01,LC,10541,349,19690131,19760930
001079,ARP CORP,C,00X,LC,10541,349,19610101,19690130
001080,ABERDEEN PETROLEUM CORP-CL A,P,01,LU,28660,23561,19631231,19760430
001080,ABERDEEN PETROLEUM CORP-CL A,C,00X,LU,28660,23561,19621001,19631230
001081,ABITIBI CONSOLIDATED INC,P,01,LC,10560,20019,19870716,20071026
001082,SERVIDYNE INC,P,01,LC,10568,5580,19820629,20110831
001083,ACA JOE INC,C,01,LC,44231,4531,19771230,19800131
001083,ACA JOE INC,C,01,LC,44231,4531,19810831,19880406
001086,AMETECH INC,C,01,LU,76876,10835,19910628,19940223
001087,ACADIA PETROLEUM CORP,P,01,LU,10584,30,19810303,19831130
001088,ACAPULCO RESTAURANTS,P,01,LC,10592,149,19780921,19860205
001089,ACCELERATORS INC,P,01,LC,10613,22208,19721214,19791130
001091,ACCO WORLD CORP,P,01,LU,64688,5803,19830211,19870731
001092,ACCU TEST SYSTEMS INC,P,01,LU,10621,34,19810813,19830429
001093,ACCURAY CORP,P,01,LC,10640,50,19721214,19870331
001094,ACETO CORP,P,01,LC,10656,37,19721214,E
001095,ACKERLEY GROUP INC,P,01,LC,10123,9754,19890907,20020614
001097,ACMAT CORP  -CL A,P,02,LC,11647,47,19941001,20041203
001097,ACMAT CORP  -CL A,J,02,LC,11647,47,19870930,19940930
001097,ACMAT CORP  -CL A,P,01,LC,10664,47,19721214,19940930
001097,ACMAT CORP  -CL A,N,01,LC,10664,47,19941001,19950901
001098,ACME-CLEVELAND CORP,C,01,LC,10057,20020,19680101,19960702
001099,ACME ELECTRIC CORP,P,01,LC,63837,156,19721214,20001130
001100,ACME GENERAL CORP,P,01,LC,10672,46,19721214,19850628
001101,ACME-HAMILTON MFG CORP,P,01,LU,28679,23562,19730131,19780131
001103,ACME PRECISION PRODUCTS INC,C,01,LU,28695,23564,19660131,19880713
001104,ACME UNITED CORP,P,01,LU,60038,370,19721214,E
001106,ACRO ENERGY CORP,C,01,LU,10699,5193,19820128,19861031
001108,PRINCETON HOLDINGS INC,C,01,LC,51510,20021,19701111,19961018
001109,COREWAFER INDUSTRIES INC,C,01,LC,85084,7338,19860922,20090424
001109,COREWAFER INDUSTRIES INC,C,01,LC,85084,7338,19841212,19851226
001111,ACTIVISION INC,C,02,LC,79678,12499,19931022,20080709
001111,ACTIVISION INC,C,02,LC,10701,6060,19850531,19910328
001111,ACTIVISION INC,C,00X,LC,10701,6060,19830609,19850530
001112,ACTMEDIA INC,P,01,LU,10720,6611,19831122,19890731
001113,ACTON CORP  -OLD,C,01,LC,43967,20022,19661122,19880429
001114,ACUSHNET CO,P,01,LC,10728,53,19721214,19760528
001115,ADAC LABORATORIES,P,01,LU,10752,58,19791205,20001229
001117,RELM WIRELESS CORP,P,02,LU,10779,65,19781003,E
001118,ADAMS DRUG INC,P,01,LU,57306,25563,19721220,19841130
001119,ADAMS DIVERSIFIED EQUITY FD,C,00X,LU,10065,20023,19820101,19820128
001119,ADAMS DIVERSIFIED EQUITY FD,P,01,LU,10065,20023,19820129,E
001120,ADAMS-MILLIS CORP,C,00X,LU,17224,22757,19500101,19620130
001120,ADAMS-MILLIS CORP,P,01,LU,17224,22757,19620131,19881031
001121,ADAMS RESOURCES & ENERGY INC,P,01,LU,61487,59,19750207,E
001122,ADAMS RUSSELL,P,01,LC,47650,24955,19690205,19871231
001123,ADCOR ELECTRONICS INC,C,01,LU,85105,7521,19850429,19861219
001124,ADDISON-WESLEY PUB  -CL B,P,01,LU,10787,73,19721214,19880324
001125,ADDITIVE TECHNOLOGY CORP,P,01,LU,10795,7002,19840426,19850830
001126,ADDMASTER CORP,C,00X,LU,10808,62,19730601,19780130
001126,ADDMASTER CORP,C,01,LU,10808,62,19780131,19900619
001128,ADIA SERVICES INC,P,01,LU,85113,7245,19841002,19950131
001129,ADVANCED FUEL SYSTEMS INC,P,01,LU,10816,5232,19811210,19830831
001130,ADVANCED LOGIC SYSTEMS INC,C,01,LU,10824,7087,19840615,19870610
001131,ADLEY CORP,P,01,LU,10832,22229,19721214,19730731
001133,ADMIRAL CORP,P,01,LU,22488,23147,19620131,19740430
001133,ADMIRAL CORP,C,00X,LU,22488,23147,19500101,19620130
001134,ADOBE BUILDING CENTERS INC,P,01,LU,10859,60,19780131,19781031
001135,ADOBE OIL & GAS CORP,P,01,LU,57461,25571,19731126,19851129
001137,ADVANCE CIRCUITS INC,P,01,LU,10867,76,19801205,19951031
001138,ADVANCE ROSS CORP,P,01,LU,10875,347,19721214,19960131
001139,ADVANCED CHEMICAL TECHNOLOGY,P,01,LU,10891,54,19780131,19810831
001139,ADVANCED CHEMICAL TECHNOLOGY,C,00X,LU,10891,54,19730201,19780130
001140,ADVANCED COMMUNICATIONS INC,C,01,LU,10904,6815,19840126,19861027
001141,ADVANCED COMPUTER TECHNIQUES,C,01,LU,10912,55,19780131,19910703
001141,ADVANCED COMPUTER TECHNIQUES,C,00X,LU,10912,55,19730401,19780130
001142,ADVANCED ENERGY CORP,P,01,LU,46624,2454,19820129,19860930
001143,ADVANCED ENERGY RESOURCES,P,01,LU,78523,27331,19840510,19850329
001145,ADVANCED SYSTEMS INC,C,00X,LU,65840,78,19761101,19800730
001145,ADVANCED SYSTEMS INC,P,01,LU,65840,78,19800731,19871231
001146,ADVENT CORP,P,01,LU,10971,77,19721214,19810414
001147,ADVERTISING UNLIMITED INC,P,01,LU,10990,410,19790131,19871023
001148,ADVEST GROUP INC,P,01,LU,64514,420,19801121,20010228
001150,AEGIS CORP,P,01,LU,28716,23566,19660429,19841130
001151,AEQUITRON MEDICAL INC,P,01,LU,10998,6943,19840322,19961231
001153,AERO-FLOW DYNAMICS INC,P,01,LU,28724,23567,19620702,19830131
001154,AERO SYSTEMS ENGINEERING INC,P,01,LU,85164,7538,19850510,20031223
001155,AERO SYSTEMS INC,C,01,LU,11010,87,19750630,19930730
001156,AERODEX INC,P,01,LU,46973,24915,19681017,19750630
001157,AEROJET GENERAL CORP,P,01,LU,28732,23568,19620702,19721031
001159,AERONCA INC,P,01,LU,28740,23569,19660131,19860905
001161,ADVANCED MICRO DEVICES,P,01,LU,61241,211,19721214,E
001162,ADVENTURE LANDS OF AMERICA,P,01,LU,11026,68,19781006,19851129
001163,ADVANCED MONITORING SYS INC,C,01,LU,11034,245,19820129,19880321
001164,MCI INC,P,01,LC,11042,61,19860822,20020729
001164,MCI INC,P,10,LC,90284,45424,20040714,20060106
001164,MCI INC,P,01,LC,11042,61,19801124,19860728
001165,B-FAST CORP,C,01,LC,11069,85,19810414,19880427
001166,ASM INTERNATIONAL NV,P,01,LC,11077,374,19810512,20150820
001167,ADVANT CORP,P,01,LU,11085,5260,19820104,19821029
001169,ADV GENETIC SCIENCES,P,01,LC,11114,6414,19830922,19881122
001170,ADVANCED TELECOMMUN-OLD,P,01,LC,11149,6737,19840131,19850730
001171,ADVANCED TELECOMMUNICATIONS,P,01,LC,11149,6737,19850731,19921204
001172,ADV PROFESSIONAL SALES-OLD,C,01,LU,15916,321,19830624,19861231
001173,AEROSONIC CORP,C,00X,LU,11157,376,19730201,19750227
001173,AEROSONIC CORP,C,01,LU,11157,376,19750228,20130628
001174,AEROTRON INC,C,01,LC,11165,22254,19721214,19791231
001175,AEROVOX CORP,P,01,LU,44396,24752,19670503,19730531
001177,AETNA INC,P,01,LC,46850,20026,19680924,20001213
001177,AETNA INC,P,01,LC,88845,41072,20001214,E
001178,AFFILIATED BANKSHARES COLO,P,01,LU,11173,94,19740131,19921130
001178,AFFILIATED BANKSHARES COLO,C,00X,LU,11173,94,19740101,19740130
001179,AFFILIATED CAPITAL CORP,P,01,LU,52310,25242,19780131,19820129
001179,AFFILIATED CAPITAL CORP,C,00X,LU,52310,25242,19740101,19780130
001180,AFFILIATED HOSPITAL PRODS,P,01,LU,50569,25134,19700514,19850221
001181,AFFILIATED PUBNS,P,01,LC,75618,22086,19890608,19931001
001181,AFFILIATED PUBNS,P,01,LC,57349,25566,19730809,19890531
001182,AFTER SIX INC,P,01,LU,57613,25577,19721214,19840928
001183,IDNA INC,P,01,LC,11181,6059,19830608,19980309
001184,AGGIE OIL CO,P,01,LC,11200,114,19810911,19840126
001186,AGNICO EAGLE MINES LTD,P,01,LC,78223,26174,19821101,E
001188,AGOIL INC-OLD,P,01,LU,11229,10132,19810406,19830531
001192,AGUIRRE CO,C,00X,LU,17232,22758,19490801,19620130
001192,AGUIRRE CO,P,01,LU,17232,22758,19620131,19781208
001194,AHMANSON (H F) & CO,P,01,LU,56266,20028,19721214,19981030
001195,AID AUTO STORES INC  -OLD,P,01,LU,11253,9,19780131,19850628
001195,AID AUTO STORES INC  -OLD,C,00X,LU,11253,9,19740101,19780130
001196,AIKEN INDUSTRIES INC,P,01,LU,44820,24779,19680131,19760930
001197,AILEEN INC,C,01,LU,39116,20029,19630423,19950714
001199,AGRICULTURAL & INDL DEV INC,C,01,LU,11280,135,19790511,19800811
001200,AIR CALIFORNIA,P,01,LC,11288,31,19721214,19730531
001201,AIR CARGO EQUIPMENT CORP,P,01,LU,11296,330,19790131,19881230
001202,AIR CHAPARRAL INC,P,01,LC,11309,39,19810709,19830824
001203,AIR EXPRESS INTERNATIONAL CP,C,01,LU,61081,143,19730131,20000229
001204,AIR FLORIDA SYSTEM INC,C,00X,LU,11317,144,19730801,19790130
001204,AIR FLORIDA SYSTEM INC,C,01,LU,11317,144,19790131,19840816
001206,AIR INDS CORP,P,01,LC,11325,22268,19721214,19731231
001208,AIR MIDWEST INC,P,01,LU,11341,5678,19821105,19910731
001209,AIR PRODUCTS & CHEMICALS INC,P,01,LC,28222,20030,19620131,E
001210,AIR T INC,C,01,LU,11368,6977,19840423,E
001211,AIR WEST INC,C,00X,LC,43756,24706,19660906,19681231
001212,AIR WISCONSIN SERVICES INC,P,01,LU,11376,359,19790131,19920131
001213,AIRBORNE INC,P,01,LU,51721,20031,19710105,20030815
001214,ACI HOLDING INC,P,01,LU,67125,6325,19830825,19870430
001215,AIRCO INC,P,01,LU,10102,22164,19620131,19780428
001215,AIRCO INC,C,00X,LU,10102,22164,19500101,19620130
001217,AIRLIFT INTERNATIONAL INC,C,00X,LU,46244,161,19730701,19780629
001217,AIRLIFT INTERNATIONAL INC,C,01,LU,46244,161,19780630,19801103
001218,AIRPAX ELECTRONICS INC,P,01,LU,44775,24775,19670803,19760430
001219,AIRWICK INDUSTRIES INC,P,01,LC,47378,24936,19681219,19740531
001220,AJAX MAGNETHERMIC CORP,P,01,LC,41793,24562,19650407,19750731
001221,AKZONA,P,01,LU,25662,23350,19620131,19820831
001222,ALA MOANA HAWAII PROPERTIES,P,01,LC,63415,25710,19820129,19880422
001222,ALA MOANA HAWAII PROPERTIES,C,00X,LC,63415,25710,19820101,19820128
001226,ALAMCO INC,P,02,LU,64848,5335,19820324,19970829
001227,ALAMITO CO,P,01,LU,67133,25779,19850107,19860530
001228,ALANCO TECHNOLOGIES INC,C,02,LC,11456,5348,19880823,19900201
001228,ALANCO TECHNOLOGIES INC,C,02,LC,11456,5348,19900423,20110725
001228,ALANCO TECHNOLOGIES INC,C,02,LC,11456,5348,19820514,19860122
001229,ALANTHUS CORP,P,01,LU,11472,183,19721214,19780731
001230,ALASKA AIR GROUP INC,P,01,LU,28804,20035,19660131,E
001232,ALASKA INTL INDUSTRIES INC,P,01,LU,11520,167,19741105,19790831
001233,ALASKA NORTHWEST PROPERTIES,C,01,LU,11536,285,19800530,19870618
001234,ATRION CORP,P,01,LU,11587,392,19721214,E
001235,ALBA-WALDENSIAN INC,P,01,LU,49584,20036,19691125,19991231
001236,ALBANY INTL CORP  -OLD,P,01,LU,57998,132,19721214,19830729
001238,ALBERTA ENERGY CO LTD,P,01,LC,82233,27934,19950921,20020405
001239,ALBERTO-CULVER CO,J,02,LC,69163,8127,19860423,20031105
001239,ALBERTO-CULVER CO,P,01,LC,42083,8127,19650611,20110510
001240,ALBERTSON'S INC,P,01,LU,50032,20038,19700210,20060630
001241,ALBION INTL RESOURCES INC,P,01,LU,11608,7161,19840801,19890630
001242,ALBUQUERQUE WESTN SOLAR INDS,P,01,LC,11616,186,19790131,19800627
001243,ALCAN INC,C,00X,LC,24264,20039,19500531,19620130
001243,ALCAN INC,P,01,LC,24264,20039,19620131,20071114
001244,ALCIDE CORP,P,01,LC,11624,5686,19830526,20040730
001245,AMERISOURCE CORP,P,02,LC,85244,7691,19850815,19891031
001246,IKON OFFICE SOLUTIONS,P,01,LU,48514,20040,19690616,20081031
001247,ALCOLAC INC,P,01,LU,56282,25506,19721214,19810331
001248,ALCON LABORATORIES INC,P,01,LU,53321,25311,19711004,19780131
001249,ALDEBARAN DRILLING CO INC,P,01,LU,11659,154,19810908,19850531
001250,ALDEN ELECTRONICS INC,C,01,LC,85252,7371,19850107,19970113
001251,ALDON INDUSTRIES INC,C,00X,LU,48733,174,19740101,19780130
001251,ALDON INDUSTRIES INC,P,01,LU,48733,174,19780131,19810227
001252,ALDRICH CHEMICAL INC,P,01,LU,11683,155,19721214,19750731
001253,ALEXANDER & ALEXANDER,P,01,LU,63845,4,19721214,19970228
001254,MATSON INC,P,01,LU,11691,157,19721214,E
001255,ALEXANDER ENERGY CORP,P,02,LC,11704,5198,19811119,19960829
001257,ALEXANDER'S INC,P,01,LU,49330,20041,19691007,E
001258,CAPCO ENERGY INC,C,01,LC,11712,5261,19820217,19821130
001259,TAMIR BIOTHECHNOLOGY INC,C,01,LC,11739,35,19840131,19861104
001259,TAMIR BIOTHECHNOLOGY INC,C,01,LC,11739,35,19961205,19990427
001259,TAMIR BIOTHECHNOLOGY INC,C,01,LC,11739,35,20040909,20090105
001260,ADRIEN ARPEL INC,P,01,LU,69171,6397,19830920,19981231
001261,ALGERAN INC,P,01,LU,11755,165,19790926,19840430
001263,ESSAR STEEL ALGOMA INC,P,01,LC,81765,28041,19950714,20001130
001264,ALGOREX CORP,C,00X,LU,11763,164,19730701,19790130
001264,ALGOREX CORP,C,01,LU,11763,164,19790131,19920311
001266,ALICO INC,P,01,LU,11790,153,19721214,E
001268,ALL AMERICAN BURGER INC,P,01,LU,11798,4366,19790618,19811130
001269,ALL AMERICAN GOURMET CO,P,01,LU,85279,7740,19850918,19870731
001270,ALL AMERICAN INDUSTRIES INC,P,01,LU,28820,6,19780731,19820430
001270,ALL AMERICAN INDUSTRIES INC,C,00X,LU,28820,6,19730101,19780730
001271,ALL SEASONS RESORTS INC,C,01,LU,11827,6916,19840313,19900430
001274,ALLEGHANY CORP,C,00X,LC,17400,22775,19740101,19740130
001274,ALLEGHANY CORP,P,01,LC,17400,22775,19740131,19861223
001274,ALLEGHANY CORP,P,01,LC,71271,20043,19870130,E
001275,ALLEGHENY & WESTERN ENER-OLD,P,01,LC,11835,163,19820129,19850130
001277,ALLECO INC,P,02,LC,11843,17,19721214,19881018
001278,SUNBEAM CORPORATION,C,00X,LC,18817,20044,19500101,19620130
001278,SUNBEAM CORPORATION,C,01,LC,77829,29239,19920819,20010205
001278,SUNBEAM CORPORATION,C,01,LC,18817,20044,19620131,19900928
001279,ALLEGHENY ENERGY INC,C,00X,LU,10137,20045,19510101,19620130
001279,ALLEGHENY ENERGY INC,P,01,LU,10137,20045,19620131,20110228
001281,ALLEN TELECOM INC,C,01,LU,44740,20046,19670727,20030731
001283,ALLEN ORGAN CO  -CL B,P,01,LU,11851,293,19721214,20050511
001284,ALLERGAN PHARMACEUTICALS INC,P,01,LU,59635,305,19721214,19800331
001285,ALLIANCE TIRE &RUBBER  -CL A,C,01,LU,28855,23581,19620702,19880531
001286,ALLIANCE NORTHWEST INDS INC,C,01,LU,85295,7242,19841001,19920630
001288,ALLIED ARTISTS INDUSTRIES,P,01,LU,58747,25614,19760120,19790323
001289,ALLIED ARTISTS PICTURES CORP,P,01,LC,28863,23582,19650129,19751231
001290,ALLIED BANCSHARES INC-TX,P,01,LC,11870,151,19740131,19880129
001290,ALLIED BANCSHARES INC-TX,C,00X,LC,11870,151,19740101,19740130
001291,ALLIED CONTROL INC,P,01,LU,28871,23583,19620702,19740531
001292,ALLIED FARM EQUIPMENT  -CL A,P,01,LU,11886,160,19780131,19820730
001293,ALLIED FOODS INC,P,01,LU,11894,159,19721214,19820930
001294,ALLIED MAINTENANCE,P,01,LU,46818,24904,19680917,19820930
001295,ALLIED MILLS INC,P,01,LU,19860,22954,19620131,19730706
001295,ALLIED MILLS INC,C,00X,LU,19860,22954,19490701,19620130
001296,ALLIED NURSING CARE INC,C,01,LU,11915,6857,19840215,19860915
001297,ALLIED PRODUCTS,C,01,LU,26331,20050,19630329,20001002
001299,ALLIED SECURITY INC-OLD,P,01,LU,11931,365,19760730,19900315
001299,ALLIED SECURITY INC-OLD,C,00X,LU,11931,365,19730701,19760729
001300,HONEYWELL INTERNATIONAL INC,P,01,LC,10145,22168,19620131,E
001301,ALLIED STORES,C,00X,LU,17304,22766,19500201,19620130
001301,ALLIED STORES,P,01,LU,17304,22766,19620131,19861230
001302,ALLIED SUPERMARKETS,P,01,LU,22074,21872,19620131,19781120
001302,ALLIED SUPERMARKETS,C,00X,LU,22074,21872,19550701,19620130
001302,ALLIED SUPERMARKETS,P,01,LU,22074,21872,19860320,19870722
001303,ALLIED TECHNOLOGY INC,P,01,LU,74473,6015,19770729,19800731
001304,ALLIED TELEPHONE,P,01,LU,63423,385,19721214,19831031
001305,ALLIED THERMAL CORP,P,01,LC,53655,25330,19711203,19771231
001306,ALLIED VAN LINES INC,P,01,LU,11950,185,19721214,19820331
001308,ALLIS-CHALMERS ENERGY INC,C,00X,LC,10153,22169,19500101,19620130
001308,ALLIS-CHALMERS ENERGY INC,C,02,LC,90335,22169,20040913,20110228
001308,ALLIS-CHALMERS ENERGY INC,C,02,LC,10153,22169,19620131,19881202
001309,ALLISON STEEL MFG CO,P,01,LU,44724,24771,19670720,19711231
001311,ALC COMMUNICATIONS INC,C,02,LU,85033,5931,19830420,19950831
001312,ALLOY METAL PRODUCTS INC,P,01,LC,11966,175,19780131,19810227
001313,ALLOYS UNLIMITED INC,P,01,LU,28898,23584,19650129,19700630
001314,ALLRIGHT AUTO PARKS INC,P,01,LU,42737,24631,19651130,19820730
001315,ALLY & GARGANO INC,P,01,LU,11974,6716,19831215,19860829
001318,ALLTEL CORP,P,01,LU,41443,20057,19650118,20071130
001319,ALLYN & BACON INC,P,01,LU,11982,187,19721214,19810630
001320,ALMADEN VINEYARDS INC-DEL,P,01,LU,84284,417,19721214,19730828
001322,ALMY STORES INC,P,01,LU,49103,25047,19690828,19840731
001323,ALNAN INC,P,01,LC,42497,24617,19650930,19750630
001324,SCHERER HEALTHCARE INC,C,01,LU,12002,172,19790131,20030131
001324,SCHERER HEALTHCARE INC,C,00X,LU,12002,172,19740801,19790130
001325,ALOHA INC,P,01,LU,61268,25659,19791214,19861231
001326,ALPEX COMPUTER CORP,C,01,LU,12037,177,19790131,19800125
001326,ALPEX COMPUTER CORP,C,00X,LU,12037,177,19750101,19790130
001327,SKYWORKS SOLUTIONS INC,P,01,LU,45911,20058,19680313,E
001328,ALPHA SOLARCO INC,C,01,LC,12045,364,19791016,19821007
001328,ALPHA SOLARCO INC,C,01,LC,12045,364,19850512,19961111
001329,ALPHANUMERIC INC,C,01,LU,12053,158,19790131,19821011
001330,ALPHATYPE CORP,P,01,LU,12061,182,19771031,19810331
001331,ALPINE GROUP INC,C,00X,LU,68814,162,19730501,19791230
001331,ALPINE GROUP INC,P,01,LU,68814,162,19791231,20020711
001332,ASIA SUPERNET CORP,C,01,LC,12096,309,19780131,19890118
001333,ALPHA PETROLEUM EXPLORATION,C,01,LU,78233,26525,19821101,19840905
001334,NQL INC,P,01,LU,12117,170,19810618,20010917
001338,ALTA ENERGY CORP-OLD,C,00X,LC,12125,5180,19811111,19831229
001341,ALTAIR CORP-DEL,P,01,LC,12141,179,19721214,19850718
001342,ALTAIR CORP-PUERTO RICO,C,01,LC,12160,3,19800131,19821014
001343,ALTAMIL CORP,C,01,LU,40096,24432,19640115,19831230
001344,ALTEC CORP,P,01,LU,44580,24763,19670619,19831130
001345,ALTERMAN INVESTMENT FUND,C,01,LU,42032,24585,19650603,19800425
001346,ALTERNACARE CORP,P,01,LU,12168,7118,19840703,19880331
001347,ALTEX OIL CORP,C,00X,LC,63853,184,19750515,19751127
001347,ALTEX OIL CORP,C,01,LC,63853,184,19751128,19851031
001348,ALTIUS CORP,C,00X,LU,12176,22334,19730201,19790130
001348,ALTIUS CORP,C,01,LU,12176,22334,19790131,19840831
001349,ALTON PACKAGING CORP,C,01,LU,12184,181,19721214,19810930
001350,ALTOS COMPUTER SYS,P,01,LU,12192,5675,19821104,19900831
001351,ALTRON INC,P,01,LU,12205,7167,19840807,19981130
001356,ALCOA INC,P,01,LC,24643,20060,19620131,20161031
001358,ALUMINUM SPECIALTY CO,C,01,LU,47474,24942,19690115,19740131
001359,ALZA CORP,P,01,LU,64856,20061,19830608,20010629
001360,SENTO CORP,C,01,LC,12213,205,19800124,19920526
001360,SENTO CORP,C,01,LC,84260,15153,19961119,20070912
001362,AMALGAMATED SUGAR CO,P,01,LU,24555,23278,19620131,19821103
